prop.true	m	n	d	pval	fdr.theo	fdr.actl
0.7	10000	16	0.75	0.001	0.00485846893652259	0.0048603633935805
0.7	10000	16	0.75	0.01	0.0148603687167178	0.0147664502625529
0.7	10000	16	0.75	0.03	0.0279289731948772	0.0265712531006418
0.7	10000	16	0.75	0.05	0.0383641269736045	0.0372534791394446
0.7	10000	16	0.75	0.1	0.0604796589640076	0.0565010593931154
0.9	10000	16	0.75	0.001	0.00126415327057087	0.00263245572112343
0.9	10000	16	0.75	0.01	0.00389556832277624	0.00825883011756774
0.9	10000	16	0.75	0.03	0.0073938093100743	0.0113592207386246
0.9	10000	16	0.75	0.05	0.010237173951516	0.012883343131838
0.9	10000	16	0.75	0.1	0.0164153134819606	0.0157066566617023
0.1	10000	16	1	0.001	0.0364044077158848	0.0401008240225273
0.1	10000	16	1	0.01	0.143232004046893	0.137204847452628
0.1	10000	16	1	0.03	0.276178491598946	0.249752657417806
0.1	10000	16	1	0.05	0.365438651985134	0.35290715918371
0.1	10000	16	1	0.1	0.508933870162864	0.494114087782826
0.3	10000	16	1	0.001	0.00969975339267948	0.00985706330228704
0.3	10000	16	1	0.01	0.0415421271487827	0.0447083713799187
0.3	10000	16	1	0.03	0.0900172412784759	0.0973835341966524
0.3	10000	16	1	0.05	0.129908962365987	0.13797160556569
0.3	10000	16	1	0.1	0.211786987268976	0.214197800501245
0.5	10000	16	1	0.001	0.00418020589250978	0.00253985888515158
0.5	10000	16	1	0.01	0.0182366836664222	0.0212016334144546
0.5	10000	16	1	0.03	0.0406708807354971	0.0410209664595376
0.5	10000	16	1	0.05	0.0601397735647471	0.0529396746840362
0.5	10000	16	1	0.1	0.103262844658745	0.0961705598453766
0.7	10000	16	1	0.001	0.00179580651311509	0.0019388050056837
0.7	10000	16	1	0.01	0.00789802602428382	0.00808324319216912
0.7	10000	16	1	0.03	0.0178451079480205	0.0167360851826213
0.7	10000	16	1	0.05	0.0266914560182798	0.0249492709926578
0.7	10000	16	1	0.1	0.0470306576969692	0.0444655010052055
0.9	10000	16	1	0.001	0.000466199680415081	0.00095579585969392
0.9	10000	16	1	0.01	0.00205968711243097	0.00229366768785
